city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
Belo Horizonte,350,3,4,4,-,acept,not furnished,R$0,"R$3,500",R$325,R$53,"R$3,878"
Rio de Janeiro,325,4,5,4,1,acept,furnished,"R$4,950","R$15,000","R$2,209",R$191,"R$22,350"
Porto Alegre,200,4,4,3,2,acept,furnished,"R$3,700","R$5,000",R$0,R$64,"R$8,764"
Sao Paulo,364,4,5,4,2,acept,furnished,"R$2,199","R$5,500","R$3,243",R$70,"R$11,010"
Porto Alegre,100,2,1,0,-,acept,not furnished,R$0,"R$1,800",R$275,R$28,"R$2,103"
Campinas,33,1,1,0,11,not acept,not furnished,R$290,R$600,R$10,R$8,R$908
Porto Alegre,70,2,1,1,-,acept,not furnished,R$60,"R$2,100",R$0,R$32,"R$2,192"
Campinas,30,1,1,1,5,not acept,not furnished,R$610,"R$2,300",R$134,R$30,"R$3,074"
Porto Alegre,285,4,4,4,9,acept,not furnished,"R$2,750","R$8,000","R$1,750",R$102,"R$12,600"
Rio de Janeiro,52,2,1,1,6,not acept,not furnished,R$596,"R$2,264",R$38,R$29,"R$2,927"
Belo Horizonte,400,4,3,2,-,acept,not furnished,R$0,"R$3,390",R$400,R$43,"R$3,833"
Campinas,102,3,2,2,1,acept,not furnished,"R$1,300","R$2,000",R$284,R$26,"R$3,610"
Sao Paulo,50,1,1,0,-,not acept,not furnished,Sem info,"R$1,300",R$100,R$20,"R$1,420"
Porto Alegre,28,1,1,1,4,not acept,furnished,R$537,"R$3,076",R$80,R$39,"R$3,732"
Rio de Janeiro,58,1,1,1,2,acept,furnished,"R$1,500","R$2,800",R$334,R$36,"R$4,670"
Campinas,32,1,1,0,6,acept,not furnished,R$350,"R$1,600",R$0,R$21,"R$1,971"
Porto Alegre,52,2,1,1,3,not acept,not furnished,R$450,"R$2,400",R$78,R$31,"R$2,959"
Belo Horizonte,210,5,4,1,-,acept,not furnished,R$0,"R$15,000","R$1,667",R$226,"R$16,890"
Rio de Janeiro,244,5,7,4,12,acept,not furnished,"R$1,600","R$8,000",R$500,R$102,"R$10,200"
Belo Horizonte,170,3,4,2,5,not acept,furnished,"R$1,850","R$4,600",R$359,R$59,"R$6,868"
Sao Paulo,163,3,3,4,7,acept,furnished,"R$2,900","R$9,000",R$830,R$115,"R$12,850"
Porto Alegre,107,2,1,0,1,acept,not furnished,R$480,"R$4,950",R$55,R$63,"R$5,548"
Rio de Janeiro,90,3,2,2,1,acept,furnished,R$950,"R$2,800",R$234,R$36,"R$4,020"
Belo Horizonte,120,3,4,0,-,acept,not furnished,R$250,"R$3,200",R$226,R$41,"R$3,717"
Rio de Janeiro,264,4,4,4,9,acept,not furnished,"R$3,200","R$14,450","R$1,792",R$184,"R$19,630"
Sao Paulo,47,1,1,1,6,acept,furnished,R$590,"R$2,700",R$120,R$35,"R$3,445"
Rio de Janeiro,278,4,4,1,6,acept,not furnished,"R$2,118","R$6,000",R$547,R$77,"R$8,742"
Campinas,56,2,1,1,2,acept,not furnished,R$420,"R$1,050",R$24,R$14,"R$1,508"
Belo Horizonte,22,1,1,0,25,acept,not furnished,R$385,"R$2,100",R$40,R$27,"R$2,552"
Porto Alegre,49,1,1,0,4,acept,furnished,R$350,"R$3,000",R$0,R$39,"R$3,389"
Porto Alegre,150,3,4,1,-,acept,not furnished,R$0,"R$4,250",R$491,R$64,"R$4,805"
Sao Paulo,30,1,1,0,3,not acept,not furnished,R$340,R$920,R$0,R$12,"R$1,272"
Belo Horizonte,200,3,2,2,-,acept,furnished,R$0,"R$4,700",R$184,R$71,"R$4,955"
Belo Horizonte,93,3,2,2,4,acept,not furnished,"R$1,459","R$2,300",R$191,R$30,"R$3,980"
Sao Paulo,73,2,2,1,15,acept,not furnished,R$700,"R$1,350",R$150,R$18,"R$2,218"
Belo Horizonte,130,3,2,1,6,acept,not furnished,"R$1,550","R$5,500",R$300,R$70,"R$7,420"
Belo Horizonte,280,3,2,0,7,acept,not furnished,"R$2,300","R$3,000",R$417,R$39,"R$5,756"
Belo Horizonte,37,1,1,1,6,not acept,furnished,R$510,"R$2,734",R$0,R$11,"R$3,255"
Belo Horizonte,330,4,3,0,9,acept,not furnished,"R$4,400","R$10,000","R$1,084",R$127,"R$15,610"
Rio de Janeiro,85,2,2,0,-,acept,not furnished,R$0,"R$1,700",R$0,R$26,"R$1,726"
Sao Paulo,49,2,1,1,5,acept,not furnished,R$300,"R$1,700",R$21,R$22,"R$2,043"
Rio de Janeiro,44,2,1,1,17,acept,not furnished,R$394,"R$1,481",R$0,R$5,"R$1,880"
Sao Paulo,89,3,1,1,5,not acept,not furnished,R$820,"R$2,050",R$150,R$26,"R$3,046"
Campinas,52,1,1,1,15,not acept,furnished,"R$1,218","R$5,000",R$284,R$64,"R$6,566"
Belo Horizonte,70,2,2,2,6,not acept,not furnished,"R$1,214","R$2,748",R$144,R$35,"R$4,141"
Belo Horizonte,78,2,2,1,8,acept,not furnished,R$586,"R$1,680",R$63,R$22,"R$2,351"
Sao Paulo,240,7,3,4,-,acept,not furnished,R$0,"R$6,000",R$834,R$91,"R$6,925"
Campinas,140,3,2,2,13,acept,not furnished,"R$1,700","R$4,700",R$686,R$60,"R$7,146"
Sao Paulo,300,4,6,4,20,acept,not furnished,"R$3,700","R$12,000","R$1,584",R$153,"R$17,440"
Rio de Janeiro,119,3,2,2,-,acept,not furnished,R$0,"R$2,860",R$207,R$43,"R$3,110"
Belo Horizonte,195,4,2,3,15,acept,not furnished,"R$1,475","R$2,500",R$307,R$32,"R$4,314"
Campinas,95,2,2,0,1,acept,furnished,R$621,"R$1,550",R$82,R$20,"R$2,273"
Porto Alegre,51,1,1,0,11,acept,furnished,R$900,"R$4,950",R$125,R$63,"R$6,038"
Porto Alegre,680,4,5,8,-,acept,not furnished,Sem info,"R$10,000",R$217,R$151,"R$10,370"
Campinas,82,3,2,2,5,acept,not furnished,R$915,"R$2,100",R$252,R$27,"R$3,294"
Porto Alegre,198,3,3,1,4,acept,furnished,"R$3,200","R$10,000",R$363,R$127,"R$13,690"
Porto Alegre,75,2,3,2,10,acept,not furnished,"R$1,642","R$6,000",R$400,R$77,"R$8,119"
Porto Alegre,320,4,3,4,5,acept,not furnished,"R$3,000","R$5,200",R$292,R$66,"R$8,558"
Belo Horizonte,200,3,3,2,7,acept,not furnished,"R$3,000","R$4,000",R$770,R$51,"R$7,821"
Campinas,67,2,2,1,14,not acept,not furnished,R$940,"R$1,350",R$94,R$18,"R$2,402"
Porto Alegre,220,4,2,1,2,not acept,not furnished,"R$1,340","R$6,000",R$17,R$77,"R$7,434"
Sao Paulo,284,4,3,3,4,acept,not furnished,"R$2,340","R$6,000",R$483,R$77,"R$8,900"
Porto Alegre,80,3,1,1,15,acept,not furnished,R$820,"R$2,250",R$44,R$29,"R$3,143"
Campinas,170,3,3,3,-,acept,not furnished,R$0,"R$4,200",R$239,R$64,"R$4,503"
Rio de Janeiro,145,3,3,0,1,acept,furnished,"R$1,856","R$3,738",R$445,R$48,"R$6,087"
Sao Paulo,64,2,2,2,4,acept,furnished,"R$1,300","R$4,500",R$440,R$58,"R$6,298"
Rio de Janeiro,390,4,4,4,-,acept,not furnished,R$0,"R$8,000","R$1,305",R$121,"R$9,426"
Porto Alegre,50,1,1,1,10,not acept,not furnished,R$718,"R$1,600",R$13,R$21,"R$2,352"
Belo Horizonte,64,2,2,1,7,not acept,not furnished,"R$1,182","R$6,950",R$276,R$89,"R$8,497"
Belo Horizonte,40,1,1,0,-,not acept,not furnished,R$180,R$850,R$41,R$11,"R$1,082"
Rio de Janeiro,65,2,2,1,-,not acept,not furnished,R$120,"R$1,850",R$0,R$28,"R$1,998"
Rio de Janeiro,78,2,1,0,1,acept,not furnished,R$325,R$800,R$48,R$11,"R$1,184"
Campinas,42,1,1,1,5,acept,not furnished,R$330,"R$2,100",R$107,R$27,"R$2,564"
Rio de Janeiro,50,1,1,1,-,acept,not furnished,R$0,"R$1,750",R$0,R$27,"R$1,777"
Porto Alegre,49,2,1,1,14,acept,not furnished,R$460,"R$1,800",R$105,R$23,"R$2,388"
Belo Horizonte,46,2,1,1,6,acept,not furnished,R$280,"R$1,434",R$9,R$19,"R$1,742"
Belo Horizonte,32,1,1,0,7,acept,not furnished,R$300,"R$1,800",R$0,R$23,"R$2,123"
Porto Alegre,360,7,6,6,-,acept,not furnished,R$0,"R$5,270",R$245,R$80,"R$5,595"
Rio de Janeiro,37,1,1,0,-,not acept,not furnished,R$0,"R$1,180",R$57,R$7,"R$1,244"
Sao Paulo,54,1,1,0,5,acept,not furnished,R$730,"R$1,500",R$0,R$20,"R$2,250"
Campinas,124,3,2,1,4,not acept,furnished,"R$1,070","R$2,750",R$289,R$35,"R$4,144"
Belo Horizonte,114,3,2,2,9,acept,not furnished,R$900,"R$3,780",R$100,R$48,"R$4,828"
Porto Alegre,101,3,2,1,5,acept,not furnished,R$780,"R$2,800",R$91,R$36,"R$3,707"
Porto Alegre,450,5,5,4,-,not acept,not furnished,R$0,"R$5,740",R$520,R$87,"R$6,347"
Campinas,126,2,2,2,8,acept,not furnished,"R$1,000","R$2,300",R$263,R$30,"R$3,593"
Rio de Janeiro,54,2,1,1,2,not acept,not furnished,R$350,"R$1,869",R$0,R$7,"R$2,226"
Rio de Janeiro,48,2,1,1,10,acept,not furnished,R$400,"R$1,650",R$51,R$21,"R$2,122"
Campinas,280,3,5,3,-,acept,not furnished,Sem info,"R$5,700",R$436,R$86,"R$6,222"
Porto Alegre,164,3,4,2,13,acept,not furnished,"R$2,900","R$12,500",R$915,R$159,"R$16,470"
Belo Horizonte,113,3,1,1,5,acept,not furnished,"R$1,000","R$3,000",R$50,R$39,"R$4,089"
Belo Horizonte,72,3,2,2,10,acept,not furnished,R$560,"R$3,500",R$185,R$45,"R$4,290"
Rio de Janeiro,500,4,3,5,-,not acept,furnished,R$0,"R$12,000",R$84,R$181,"R$12,270"
Porto Alegre,140,2,1,1,7,acept,not furnished,R$870,"R$2,600",R$580,R$33,"R$4,083"
Sao Paulo,260,4,5,5,3,acept,not furnished,"R$3,428","R$11,000","R$2,441",R$140,"R$17,010"
Sao Paulo,40,1,1,0,-,not acept,not furnished,R$0,R$780,R$17,R$12,R$809
Belo Horizonte,62,2,1,1,3,acept,not furnished,R$480,R$650,R$69,R$9,"R$1,208"
Rio de Janeiro,42,1,2,1,6,not acept,not furnished,R$690,"R$2,500","R$313,700",R$32,"R$316,900"
Sao Paulo,565,4,5,6,-,acept,furnished,"R$2,337","R$14,850","R$2,112",R$224,"R$19,520"
Campinas,500,5,5,8,1,acept,not furnished,Sem info,"R$9,800",R$92,R$148,"R$10,040"
Belo Horizonte,178,3,5,2,8,acept,not furnished,"R$2,400","R$2,468",R$342,R$32,"R$5,242"
Rio de Janeiro,30,1,1,0,15,not acept,not furnished,R$700,"R$1,650",R$0,R$25,"R$2,375"
Belo Horizonte,250,3,3,2,-,acept,not furnished,R$0,"R$9,500",R$609,R$143,"R$10,250"
Rio de Janeiro,35,1,1,0,1,not acept,not furnished,R$250,"R$1,305",R$0,R$17,"R$1,572"
Belo Horizonte,120,2,3,2,5,acept,furnished,"R$1,800","R$11,500",R$250,R$146,"R$13,700"
Campinas,190,4,4,2,4,acept,not furnished,"R$2,000","R$3,200",R$134,R$41,"R$5,375"
Belo Horizonte,420,4,6,4,1,not acept,not furnished,"R$4,200","R$14,000","R$1,417",R$178,"R$19,800"
Belo Horizonte,40,1,1,0,-,not acept,not furnished,R$0,"R$1,350",R$80,R$21,"R$1,451"
Porto Alegre,57,2,1,1,3,acept,not furnished,R$526,"R$1,300",R$3,R$17,"R$1,846"
Campinas,38,1,1,0,19,not acept,not furnished,R$583,"R$1,000",R$46,R$13,"R$1,642"
Sao Paulo,174,3,4,1,-,acept,furnished,R$0,"R$5,054",R$439,R$26,"R$5,519"
Belo Horizonte,92,2,3,2,5,not acept,not furnished,"R$1,260","R$4,200",R$275,R$54,"R$5,789"
Campinas,80,3,1,4,-,acept,not furnished,R$0,"R$5,500",R$0,R$83,"R$5,583"
Porto Alegre,50,1,2,1,3,acept,furnished,"R$1,085","R$2,826",R$39,R$9,"R$3,959"
Porto Alegre,100,3,2,2,2,acept,not furnished,"R$1,800","R$2,000",R$422,R$26,"R$4,248"
Porto Alegre,70,2,1,2,7,acept,not furnished,R$543,"R$1,400",R$156,R$18,"R$2,117"
Sao Paulo,210,4,2,2,-,acept,not furnished,R$0,"R$8,000",R$684,R$121,"R$8,805"
Porto Alegre,35,1,1,0,5,not acept,not furnished,R$400,"R$1,900",R$50,R$25,"R$2,375"
Rio de Janeiro,50,2,3,0,-,not acept,not furnished,R$0,"R$1,740",R$84,R$27,"R$1,851"
Rio de Janeiro,109,3,2,1,11,not acept,not furnished,"R$1,400","R$4,250",R$109,R$54,"R$5,813"
Belo Horizonte,80,2,3,0,6,acept,not furnished,"R$1,312","R$3,300",R$427,R$42,"R$5,081"
Belo Horizonte,69,2,1,1,2,acept,not furnished,R$270,R$800,R$40,R$11,"R$1,121"
Sao Paulo,253,4,5,3,16,acept,not furnished,"R$2,100","R$4,100",R$0,R$52,"R$6,252"
Sao Paulo,74,2,2,1,9,not acept,furnished,"R$1,000","R$5,850",R$300,R$75,"R$7,225"
Rio de Janeiro,210,3,3,0,-,acept,not furnished,R$0,"R$3,050",R$300,R$46,"R$3,396"
Belo Horizonte,70,3,2,1,3,acept,not furnished,R$380,"R$1,290",R$92,R$17,"R$1,779"
Belo Horizonte,390,3,3,3,1,acept,not furnished,"R$3,056","R$6,700",R$687,R$85,"R$10,530"
Campinas,30,1,1,0,9,not acept,furnished,R$385,"R$1,965",R$459,R$25,"R$2,834"
Porto Alegre,76,3,2,2,8,acept,furnished,R$679,"R$3,500",R$201,R$45,"R$4,425"
Rio de Janeiro,128,2,3,1,4,acept,not furnished,R$755,"R$4,339",R$85,R$55,"R$5,234"
Sao Paulo,50,1,1,0,-,not acept,not furnished,R$0,"R$1,200",R$84,R$19,"R$1,303"
Porto Alegre,100,2,2,1,10,acept,furnished,"R$1,300","R$1,979",R$225,R$26,"R$3,530"
Rio de Janeiro,237,3,5,3,8,acept,furnished,"R$2,200","R$5,500",R$917,R$70,"R$8,687"
Porto Alegre,80,2,1,1,3,acept,not furnished,R$418,"R$1,000",R$0,R$13,"R$1,431"
Campinas,108,3,2,2,3,not acept,not furnished,R$823,"R$3,000",R$350,R$39,"R$4,212"
Campinas,50,1,1,0,6,not acept,not furnished,R$467,"R$1,209",R$129,R$8,"R$1,813"
Porto Alegre,70,1,1,0,-,acept,not furnished,R$0,"R$1,475",R$90,R$23,"R$1,588"
Campinas,156,3,3,5,-,not acept,not furnished,R$0,"R$4,000",R$0,R$34,"R$4,034"
Porto Alegre,217,3,4,4,17,acept,furnished,"R$2,400","R$14,500",R$910,R$184,"R$17,990"
Porto Alegre,82,3,2,2,2,acept,not furnished,"R$1,100","R$1,500",R$159,R$20,"R$2,779"
Belo Horizonte,52,2,1,1,7,acept,not furnished,R$590,"R$1,200",R$65,R$16,"R$1,871"
Belo Horizonte,620,4,5,5,8,acept,not furnished,"R$7,963","R$15,000","R$5,160",R$191,"R$28,310"
Rio de Janeiro,320,3,4,4,7,acept,furnished,"R$3,440","R$15,000","R$1,659",R$191,"R$20,290"
Porto Alegre,66,2,2,1,2,not acept,furnished,R$536,"R$2,270",R$76,R$29,"R$2,911"
Sao Paulo,200,4,4,4,-,acept,not furnished,R$0,"R$4,500",R$450,R$68,"R$5,018"
Campinas,113,2,2,1,6,acept,not furnished,"R$1,000","R$3,000",R$50,R$39,"R$4,089"
Sao Paulo,170,4,2,1,3,acept,furnished,"R$2,437","R$5,200",R$570,R$66,"R$8,273"
Sao Paulo,45,1,1,1,3,acept,not furnished,R$520,"R$3,200",R$105,R$41,"R$3,866"
Sao Paulo,47,1,1,0,2,acept,not furnished,R$426,R$420,R$260,R$6,"R$1,112"
Belo Horizonte,80,2,1,1,18,not acept,not furnished,R$550,"R$1,500",R$167,R$20,"R$2,237"
Porto Alegre,260,3,5,4,12,acept,not furnished,"R$2,227","R$7,000","R$1,468",R$89,"R$10,780"
Campinas,122,3,2,3,11,acept,not furnished,"R$1,415","R$1,650",R$334,R$21,"R$3,420"
Sao Paulo,84,3,2,2,7,not acept,not furnished,R$900,"R$2,640",R$740,R$34,"R$4,314"
Porto Alegre,28,1,1,0,9,not acept,furnished,R$390,"R$2,300",R$59,R$30,"R$2,779"
Sao Paulo,155,2,3,2,-,acept,not furnished,R$0,"R$4,000",R$377,R$61,"R$4,438"
Campinas,58,2,1,1,2,acept,furnished,R$590,"R$1,805",R$150,R$23,"R$2,568"
Rio de Janeiro,52,2,1,1,3,not acept,not furnished,R$340,"R$1,138",R$0,R$9,"R$1,487"
Porto Alegre,75,2,1,2,1,acept,not furnished,"R$1,250","R$1,600",R$135,R$21,"R$3,006"
Porto Alegre,72,3,1,1,1,acept,furnished,R$470,"R$1,075",R$49,R$14,"R$1,608"
Sao Paulo,260,3,4,4,4,acept,furnished,"R$5,000","R$12,000",R$0,R$153,"R$17,150"
Belo Horizonte,35,1,1,0,1,not acept,furnished,Incluso,"R$1,650",R$0,R$21,"R$1,671"
Campinas,25,1,1,1,8,acept,furnished,R$0,"R$4,000",R$0,R$51,"R$4,051"
Rio de Janeiro,216,4,5,3,2,acept,furnished,"R$2,300","R$3,000","R$1,084",R$39,"R$6,423"
Belo Horizonte,215,4,6,3,2,acept,furnished,"R$2,100","R$5,700",R$959,R$73,"R$8,832"
Sao Paulo,750,4,6,2,-,acept,not furnished,R$0,"R$15,000","R$2,041",R$226,"R$17,270"
Belo Horizonte,80,2,2,2,-,acept,not furnished,R$50,"R$1,850",R$173,R$28,"R$2,101"
Sao Paulo,50,1,1,1,5,not acept,furnished,R$750,"R$1,160",R$185,R$15,"R$2,110"
Campinas,50,2,1,1,2,acept,not furnished,R$530,"R$1,200",R$109,R$16,"R$1,855"
Belo Horizonte,340,2,4,3,14,acept,not furnished,"R$4,900","R$15,000",R$917,R$191,"R$21,010"
Sao Paulo,126,4,3,4,-,acept,not furnished,R$0,"R$3,300",R$167,R$50,"R$3,517"
Porto Alegre,450,4,6,2,-,acept,not furnished,R$0,"R$4,900",R$486,R$74,"R$5,460"
Sao Paulo,32,1,1,0,1,acept,not furnished,R$400,"R$1,990",R$0,R$26,"R$2,416"
Rio de Janeiro,142,3,2,1,14,acept,not furnished,"R$1,950","R$8,500",R$194,R$108,"R$10,750"
Rio de Janeiro,70,2,2,1,14,acept,not furnished,R$849,"R$4,500",R$150,R$58,"R$5,557"
Belo Horizonte,278,4,5,2,16,acept,furnished,"R$4,052","R$9,000","R$1,261",R$115,"R$14,430"
Sao Paulo,130,3,2,1,7,acept,not furnished,"R$1,000","R$2,500",R$100,R$32,"R$3,632"
Rio de Janeiro,245,4,4,2,16,acept,not furnished,"R$2,633","R$7,400",R$527,R$94,"R$10,650"
Sao Paulo,50,2,1,0,-,not acept,not furnished,R$0,"R$1,100",R$80,R$17,"R$1,197"
Porto Alegre,61,1,2,1,9,acept,furnished,R$866,"R$5,100",R$250,R$65,"R$6,281"
Porto Alegre,30,1,1,0,3,acept,not furnished,R$380,"R$1,700",R$0,R$22,"R$2,102"
Rio de Janeiro,135,3,3,1,10,acept,furnished,"R$1,600","R$4,300",R$250,R$55,"R$6,205"
Sao Paulo,20,1,1,0,2,acept,furnished,R$602,"R$1,800",R$130,R$23,"R$2,555"
Campinas,160,3,3,2,10,acept,not furnished,"R$1,229","R$4,000",R$390,R$51,"R$5,670"
Sao Paulo,97,1,1,0,12,acept,not furnished,R$468,R$750,R$61,R$10,"R$1,289"
Porto Alegre,45,1,1,1,3,acept,furnished,R$492,"R$1,320",R$28,R$17,"R$1,857"
Rio de Janeiro,45,1,1,0,14,not acept,not furnished,R$285,R$500,R$0,R$7,R$792
Campinas,462,4,4,0,-,acept,furnished,R$0,"R$10,000","R$2,700",R$151,"R$12,850"
Porto Alegre,110,2,2,1,1,acept,not furnished,R$150,"R$3,000",R$250,R$46,"R$3,446"
Campinas,40,1,1,0,-,not acept,not furnished,R$0,R$780,R$17,R$12,R$809
Rio de Janeiro,149,4,1,3,12,not acept,not furnished,"R$1,771","R$7,500",R$624,R$96,"R$9,991"
Sao Paulo,320,3,3,4,-,acept,not furnished,"R$1,700","R$4,320",R$142,R$65,"R$6,227"
Sao Paulo,126,3,4,3,6,acept,not furnished,"R$2,500","R$3,200",R$579,R$41,"R$6,320"
Belo Horizonte,353,5,7,5,12,acept,not furnished,"R$4,800","R$10,000","R$1,917",R$127,"R$16,840"
Rio de Janeiro,35,2,1,0,8,acept,not furnished,R$340,"R$1,890",R$30,R$24,"R$2,284"
Rio de Janeiro,52,1,1,1,11,acept,not furnished,R$730,"R$2,100",R$38,R$27,"R$2,895"
Rio de Janeiro,190,4,3,2,1,acept,not furnished,"R$2,700","R$7,700","R$1,305",R$98,"R$11,800"
Belo Horizonte,89,2,2,2,8,acept,furnished,"R$1,440","R$7,700",R$351,R$98,"R$9,589"
Porto Alegre,49,1,2,0,1,acept,not furnished,R$0,"R$1,300",R$0,R$17,"R$1,317"
Rio de Janeiro,133,4,3,0,1,acept,not furnished,R$550,"R$3,800",R$309,R$49,"R$4,708"
Sao Paulo,150,3,4,3,1,acept,furnished,"R$1,300","R$5,500",R$834,R$70,"R$7,704"
Porto Alegre,400,4,3,4,-,acept,furnished,R$0,"R$9,000",R$998,R$136,"R$10,130"
Porto Alegre,480,4,4,4,12,acept,furnished,"R$6,500","R$15,000","R$2,084",R$191,"R$23,780"
Porto Alegre,90,2,3,0,11,not acept,not furnished,"R$1,205","R$3,800",R$155,R$49,"R$5,209"
Campinas,90,2,2,0,-,acept,not furnished,R$0,"R$1,950",R$125,R$30,"R$2,105"
Sao Paulo,450,4,4,3,7,acept,not furnished,"R$5,096","R$10,000",R$0,R$127,"R$15,220"
Rio de Janeiro,80,3,2,2,11,acept,not furnished,R$890,"R$3,100",R$90,R$40,"R$4,120"
Campinas,48,2,1,1,6,acept,not furnished,R$480,"R$1,510",R$0,R$20,"R$2,010"
Sao Paulo,55,1,1,1,5,not acept,not furnished,R$907,R$680,R$79,R$9,"R$1,675"
Porto Alegre,109,2,2,2,14,acept,not furnished,"R$1,550","R$7,900",R$638,R$101,"R$10,190"
Campinas,100,2,3,1,4,acept,furnished,"R$1,200","R$2,070",R$42,R$27,"R$3,339"
Campinas,185,2,3,3,8,acept,not furnished,"R$2,600","R$7,500",R$834,R$96,"R$11,030"
Rio de Janeiro,45,2,1,1,1,acept,not furnished,R$443,"R$1,510",R$0,R$6,"R$1,959"
Sao Paulo,308,3,4,4,-,acept,not furnished,R$0,"R$8,000",R$478,R$121,"R$8,599"
Belo Horizonte,210,4,4,3,5,acept,furnished,"R$2,800","R$5,000",R$917,R$64,"R$8,781"
Porto Alegre,82,3,2,1,6,acept,not furnished,R$825,"R$1,500",R$142,R$20,"R$2,487"
Porto Alegre,380,4,4,2,-,acept,not furnished,R$0,"R$5,500","R$1,000",R$83,"R$6,583"
Porto Alegre,90,2,2,1,-,acept,not furnished,R$0,"R$2,600",R$0,R$40,"R$2,640"
Sao Paulo,220,4,4,3,4,not acept,furnished,"R$2,200","R$4,930",R$809,R$63,"R$8,002"
Campinas,45,1,2,1,10,not acept,furnished,R$700,"R$3,000",R$141,R$39,"R$3,880"
Campinas,120,3,2,4,8,acept,not furnished,"R$1,365","R$4,500",R$398,R$58,"R$6,321"
Rio de Janeiro,70,3,2,2,2,acept,furnished,R$359,"R$2,080",R$74,R$27,"R$2,540"
Belo Horizonte,64,2,2,2,8,acept,not furnished,R$450,"R$2,800",R$30,R$36,"R$3,316"
Belo Horizonte,57,2,1,1,7,acept,not furnished,R$750,"R$1,447",R$0,R$19,"R$2,216"
Belo Horizonte,45,1,1,1,11,not acept,not furnished,R$363,"R$2,705",Incluso,R$25,"R$3,175"
Rio de Janeiro,160,3,4,3,-,acept,not furnished,R$0,"R$2,850",R$475,R$43,"R$3,368"
Sao Paulo,55,2,2,1,-,acept,not furnished,R$0,"R$1,550",R$0,R$24,"R$1,574"
Campinas,50,1,1,1,-,acept,not furnished,R$0,R$900,R$59,R$14,R$973
Belo Horizonte,60,2,1,1,11,not acept,not furnished,R$366,"R$1,592",R$0,R$7,"R$1,965"
Porto Alegre,140,5,4,1,-,acept,not furnished,R$0,"R$2,500",R$0,R$38,"R$2,538"
Sao Paulo,287,4,5,3,-,acept,not furnished,Sem info,"R$10,000",R$955,R$151,"R$11,110"
Belo Horizonte,35,1,1,1,7,acept,not furnished,R$405,"R$3,050",R$25,R$39,"R$3,519"
Belo Horizonte,108,3,2,2,6,acept,not furnished,"R$1,200","R$5,600",R$275,R$71,"R$7,146"
Campinas,480,4,7,8,-,acept,not furnished,R$0,"R$14,000","R$2,186",R$211,"R$16,400"
Rio de Janeiro,51,2,2,1,18,acept,not furnished,R$382,"R$1,800",R$0,R$23,"R$2,205"
Rio de Janeiro,290,2,3,4,12,acept,furnished,"R$2,600","R$6,000","R$1,067",R$77,"R$9,744"
Rio de Janeiro,130,3,2,1,-,not acept,not furnished,Incluso,"R$2,500",R$421,R$38,"R$2,959"
Porto Alegre,55,1,1,1,7,not acept,not furnished,R$200,"R$2,000",R$9,R$26,"R$2,235"
Campinas,35,1,1,0,-,not acept,furnished,Incluso,"R$1,550",R$0,R$20,"R$1,570"
Rio de Janeiro,50,3,2,0,-,acept,not furnished,R$0,"R$1,300",R$100,R$20,"R$1,420"
Campinas,129,3,2,2,1,acept,not furnished,"R$1,411","R$3,310",R$235,R$42,"R$4,998"
Belo Horizonte,46,1,1,0,9,acept,not furnished,R$600,"R$2,067",R$0,R$21,"R$2,716"
Belo Horizonte,228,3,4,3,12,not acept,furnished,"R$1,137","R$4,800",R$513,R$61,"R$6,511"
Sao Paulo,131,3,2,1,8,acept,not furnished,"R$2,100","R$2,400",R$184,R$31,"R$4,715"
Sao Paulo,36,1,1,0,4,not acept,not furnished,R$300,R$500,R$10,R$7,R$817
Porto Alegre,122,3,2,1,9,acept,not furnished,"R$1,766","R$5,800",R$279,R$74,"R$7,919"
Porto Alegre,100,2,2,0,6,not acept,not furnished,R$400,"R$1,900",R$0,R$25,"R$2,325"
Rio de Janeiro,100,2,2,3,-,acept,not furnished,R$0,"R$3,500",R$642,R$53,"R$4,195"
Porto Alegre,240,4,5,4,15,acept,furnished,"R$3,700","R$13,500","R$1,000",R$172,"R$18,370"
Belo Horizonte,36,1,1,0,3,not acept,furnished,R$460,"R$2,700",R$40,R$35,"R$3,235"
Belo Horizonte,85,2,1,1,1,acept,not furnished,R$400,"R$1,600",R$0,R$21,"R$2,021"
Sao Paulo,223,4,4,5,-,acept,furnished,R$0,"R$5,000",R$472,R$76,"R$5,548"
Rio de Janeiro,195,3,2,3,-,acept,not furnished,R$0,"R$2,255",R$0,R$34,"R$2,289"
Rio de Janeiro,170,3,2,1,5,acept,not furnished,R$860,"R$6,500",R$110,R$83,"R$7,553"
Campinas,180,3,3,2,1,acept,not furnished,"R$2,000","R$4,800",R$500,R$61,"R$7,361"
Sao Paulo,22,1,1,0,1,not acept,furnished,R$300,R$900,R$40,R$12,"R$1,252"
Porto Alegre,140,2,2,2,13,acept,not furnished,R$756,"R$2,999",R$200,R$38,"R$3,993"
Campinas,350,3,4,4,-,acept,furnished,R$0,"R$15,000","R$1,234",R$226,"R$16,460"
Porto Alegre,150,3,3,2,8,not acept,furnished,Incluso,"R$13,500",R$0,R$172,"R$13,670"
Campinas,411,4,5,4,-,acept,not furnished,R$0,"R$5,500",R$667,R$83,"R$6,250"
Campinas,900,3,6,8,-,acept,not furnished,"R$2,000","R$15,000","R$1,834",R$226,"R$19,060"
