city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
Sao Paulo,112,3,3,2,12,acept,furnished,"R$1,100","R$2,670",R$188,R$34,"R$3,992"
Belo Horizonte,145,3,4,3,1,not acept,not furnished,"R$1,200","R$6,000",R$750,R$77,"R$8,027"
Porto Alegre,47,1,1,1,8,acept,not furnished,R$560,"R$1,100",R$46,R$14,"R$1,720"
Porto Alegre,128,3,2,1,3,acept,furnished,"R$1,094","R$4,529",R$242,R$58,"R$5,923"
Campinas,250,3,4,4,-,acept,not furnished,R$0,"R$4,500",R$334,R$68,"R$4,902"
Campinas,120,3,1,0,2,acept,not furnished,R$250,"R$1,460",R$0,R$21,"R$1,731"
Campinas,110,2,2,2,-,not acept,not furnished,R$0,"R$2,700",R$300,R$41,"R$3,041"
Rio de Janeiro,400,2,5,4,-,acept,not furnished,R$0,"R$6,000",R$484,R$91,"R$6,575"
Rio de Janeiro,35,1,1,1,9,not acept,furnished,"R$1,050","R$2,600",R$317,R$33,"R$4,000"
Campinas,107,2,2,2,18,acept,furnished,"R$1,800","R$12,800",R$417,R$163,"R$15,180"
Porto Alegre,97,2,2,0,1,acept,not furnished,"R$1,200","R$5,600",R$0,R$71,"R$6,871"
Campinas,70,2,1,0,1,not acept,not furnished,R$350,"R$1,050",R$116,R$14,"R$1,530"
Porto Alegre,20,1,1,0,3,not acept,furnished,R$150,"R$3,142",R$67,R$40,"R$3,399"
Sao Paulo,130,3,2,2,6,acept,not furnished,"R$1,100","R$3,500",R$209,R$45,"R$4,854"
Rio de Janeiro,120,3,2,3,16,acept,not furnished,"R$1,400","R$2,000",R$292,R$26,"R$3,718"
Porto Alegre,110,3,3,2,2,acept,furnished,"R$1,000","R$3,800",R$192,R$49,"R$5,041"
Porto Alegre,300,3,5,3,-,acept,not furnished,R$0,"R$11,900",R$250,R$179,"R$12,330"
Sao Paulo,349,4,5,4,8,not acept,not furnished,"R$3,100","R$11,000",R$0,R$140,"R$14,240"
Rio de Janeiro,97,3,2,2,1,acept,not furnished,R$730,"R$3,000",R$303,R$39,"R$4,072"
Porto Alegre,84,4,1,3,5,not acept,not furnished,"R$1,914","R$6,000",R$804,R$77,"R$8,795"
Rio de Janeiro,180,2,2,1,-,not acept,not furnished,R$0,"R$2,800",R$105,R$43,"R$2,948"
Sao Paulo,286,4,4,5,-,acept,not furnished,R$0,"R$10,000","R$1,000",R$151,"R$11,150"
Campinas,500,5,7,5,22,acept,not furnished,"R$5,500","R$14,000","R$2,084",R$178,"R$21,760"
Sao Paulo,110,3,3,3,4,acept,not furnished,"R$1,195","R$2,350",R$670,R$30,"R$4,245"
Porto Alegre,196,4,4,0,11,acept,not furnished,"R$2,450","R$6,000","R$1,458",R$77,"R$9,985"
Campinas,33,1,1,1,12,not acept,not furnished,R$552,"R$4,150",R$95,R$53,"R$4,850"
Sao Paulo,400,4,4,3,-,acept,not furnished,Sem info,"R$9,000",R$542,R$136,"R$9,678"
Porto Alegre,170,2,1,0,1,acept,furnished,R$0,"R$2,481",R$0,R$26,"R$2,507"
Campinas,90,1,1,0,-,acept,not furnished,R$0,"R$2,200",R$109,R$34,"R$2,343"
Rio de Janeiro,184,3,4,3,12,acept,not furnished,"R$2,700","R$1,400",R$692,R$18,"R$4,810"
