id,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,reviews_per_month,price
6.69321E+17,7/5/22,1,within a few hours,100%,93%,t,10,t,t,Freguesia (Jacarepagu),-22.9425678,-43.33607487,Private room,2,1 private bath,1,1,0.3,350
8.03669E+17,1/9/20,1,within an hour,100%,96%,f,553,t,t,Centro,-22.90848445,-43.17670677,Entire home/apt,2,1 bath,1,1,0.26,184
7.9046E+17,3/3/22,0,N/A,N/A,N/A,f,1,t,t,Leblon,-22.98473048,-43.22229644,Entire home/apt,6,2 baths,2,5,,664
8.43355E+17,12/29/17,1,within an hour,100%,98%,f,42,t,t,Copacabana,-22.97772024,-43.18789024,Entire home/apt,5,1 bath,1,3,,207
8.2105E+17,7/11/22,0,within a day,67%,96%,,4,f,t,Vila Isabel,-22.91359117,-43.24426889,Shared room,3,2 shared baths,,3,0.24,80
7.05899E+17,2/21/18,0,N/A,N/A,83%,,2,t,t,Jacarepagu,-22.9714,-43.39056,Private room,2,1 shared bath,,1,,950
8.03687E+17,1/9/20,1,within an hour,100%,96%,f,553,t,t,Centro,-22.90850584,-43.17859771,Entire home/apt,2,1 bath,1,1,0.71,184
8.49405E+17,4/2/18,1,a few days or more,0%,N/A,,1,t,t,Copacabana,-22.9634124,-43.17807539,Private room,2,1 shared bath,,1,,105
7115731,12/2/12,1,within an hour,98%,28%,t,85,t,t,Ipanema,-22.98257,-43.20271,Entire home/apt,4,2 baths,2,2,,956
17153890,2/7/17,0,N/A,N/A,100%,f,1,t,f,Barra da Tijuca,-23.00583,-43.32686,Entire home/apt,2,2 baths,2,2,0.22,600
7.04277E+17,8/29/22,0,N/A,N/A,100%,f,1,t,f,Copacabana,-22.97297,-43.192,Entire home/apt,4,2 baths,3,2,,1232
7.6938E+17,6/13/15,0,within an hour,100%,99%,t,14,t,t,Leblon,-22.98276,-43.22107,Entire home/apt,3,1.5 baths,2,2,0.6,654
4641975,11/22/14,1,a few days or more,0%,0%,f,2,t,t,Gvea,-22.9769,-43.23113,Entire home/apt,4,2 baths,2,2,0.04,920
12606780,4/14/16,1,within an hour,100%,99%,,3,t,t,Tijuca,-22.93059,-43.23491,Private room,2,1 private bath,,1,3.06,81
13632009,4/5/16,0,within a day,67%,47%,f,1,t,t,Barra da Tijuca,-23.00975,-43.32819,Entire home/apt,4,1 bath,1,2,0.18,570
8.63295E+17,12/19/19,0,within an hour,100%,100%,f,3,t,t,Leblon,-22.98085,-43.22339,Entire home/apt,2,1 bath,2,2,,331
8.23976E+17,1/9/20,1,within an hour,100%,96%,f,553,t,t,Centro,-22.91049879,-43.17863727,Entire home/apt,2,Half-bath,1,1,1,184
9.08761E+17,5/16/21,1,within an hour,100%,56%,f,15,t,t,Barra da Tijuca,-23.00951419,-43.34471695,Entire home/apt,5,2 baths,2,2,,1000
46877257,11/4/19,0,N/A,N/A,0%,,2,t,t,Santa Teresa,-22.91956,-43.18804,Private room,2,2 shared baths,,1,0.1,1500
7.31373E+17,1/23/19,0,within a few hours,93%,60%,f,35,t,t,Barra da Tijuca,-23.0089,-43.34396,Entire home/apt,4,1 bath,1,1,0.16,423
2703865,4/3/14,0,N/A,N/A,N/A,f,1,t,f,Praa da Bandeira,-22.91011,-43.21021,Private room,3,1 bath,1,3,,1000
2282916,1/26/14,0,N/A,N/A,N/A,f,1,t,f,Botafogo,-22.95707,-43.18299,Entire home/apt,5,2 baths,2,5,,1000
5.43982E+17,1/20/22,1,within a few hours,100%,83%,f,1,f,f,Flamengo,-22.94096,-43.17607,Entire home/apt,3,1 bath,1,2,0.5,270
8.18843E+17,4/27/14,0,within a few hours,100%,100%,f,2,t,t,Botafogo,-22.95636,-43.1746,Entire home/apt,5,2 baths,2,2,,250
42443191,1/5/17,0,N/A,N/A,N/A,f,3,t,t,Flamengo,-22.92927,-43.17387,Entire home/apt,4,1 bath,1,4,0.02,280
40485773,3/6/16,0,N/A,N/A,100%,f,3,t,t,Barra da Tijuca,-23.00793,-43.34299,Entire home/apt,6,2.5 baths,3,3,0.07,1100
8.52273E+17,3/7/16,0,within an hour,97%,100%,f,8,t,t,Gloria,-22.92127783,-43.17280149,Entire home/apt,3,1 bath,1,1,0.76,119
46833503,12/2/20,0,a few days or more,0%,13%,f,3,t,t,Flamengo,-22.93026,-43.17746,Entire home/apt,4,1.5 baths,2,3,0.04,1000
7.56281E+17,12/13/14,0,within a day,100%,92%,,2,t,t,Santa Teresa,-22.9227017,-43.1829033,Private room,2,1 shared bath,,1,0.34,250
8289341,9/8/15,1,within a day,100%,0%,f,1,t,t,Flamengo,-22.9354,-43.1775,Entire home/apt,3,1 bath,,1,0.05,177
20623592,1/29/17,1,within an hour,100%,82%,,3,t,f,Jacarepagu,-22.96776,-43.39305,Private room,3,1 shared bath,,3,0.14,128
9.10073E+17,5/16/21,1,within an hour,100%,56%,f,15,t,t,Barra da Tijuca,-23.00949753,-43.3447706,Entire home/apt,4,1 bath,1,3,,500
5.9425E+17,7/8/18,1,within an hour,100%,98%,t,1,t,t,Flamengo,-22.93312,-43.17644,Entire home/apt,4,1 bath,1,2,3.45,276
8.27248E+17,2/12/23,0,N/A,N/A,N/A,f,1,f,t,Copacabana,-22.96812462,-43.190448,Entire home/apt,4,1 bath,1,4,,2500
8409929,6/28/15,0,within a day,100%,62%,f,2,t,t,Botafogo,-22.94541,-43.18219,Entire home/apt,9,1.5 baths,2,3,0.21,350
41031212,1/26/16,0,within a few hours,100%,77%,,14,t,t,Jacarepagu,-22.96873,-43.41229,Entire home/apt,12,1 bath,1,4,0.51,83
7.08117E+17,10/10/15,0,within an hour,100%,93%,t,17,t,t,Gloria,-22.92058,-43.17938,Entire home/apt,5,1 bath,1,3,2.69,115
2559802,5/31/13,1,within an hour,98%,83%,,7,t,t,Gloria,-22.92239,-43.17506,Entire home/apt,9,4 baths,5,6,0.07,1200
28279625,6/2/11,1,within an hour,100%,99%,f,8,t,t,Santa Teresa,-22.91745,-43.18128,Entire home/apt,2,1 bath,1,1,2.15,490
40029569,12/18/15,1,within an hour,100%,100%,t,3,t,t,Gloria,-22.92178,-43.17167,Entire home/apt,10,0 baths,,1,,1600
45152265,8/7/13,0,within an hour,100%,68%,f,24,t,t,Copacabana,-22.98439,-43.19184,Entire home/apt,4,1 bath,1,2,0.12,520
8.21102E+17,5/28/22,0,within an hour,100%,90%,f,3,t,t,Jacarepagu,-22.96719006,-43.41377346,Entire home/apt,2,1 bath,1,2,0.47,300
7.08055E+17,4/16/21,0,N/A,N/A,100%,f,2,t,f,Jacarepagu,-22.96902,-43.39463,Entire home/apt,4,2 baths,2,2,,2000
14298945,8/1/16,0,N/A,N/A,N/A,f,1,t,f,Ipanema,-22.98744,-43.1939,Entire home/apt,6,2 baths,2,6,,4786
30703893,10/7/14,1,within an hour,94%,100%,f,16,t,t,Jacarepagu,-22.97457,-43.41446,Private room,2,1 shared bath,,1,0.43,269
13499036,6/13/16,0,N/A,N/A,0%,f,1,t,f,Copacabana,-22.96703,-43.18346,Entire home/apt,9,1 bath,3,4,,1565
53499644,4/11/19,0,a few days or more,33%,90%,f,1,t,f,Copacabana,-22.96354,-43.17433,Entire home/apt,4,1 bath,1,4,0.6,299
6.26263E+17,5/13/22,1,within an hour,100%,100%,,8,t,t,Laranjeiras,-22.93359,-43.19491,Private room,4,2 baths,,4,1.82,186
43675275,9/21/13,1,within a few hours,89%,73%,f,239,t,t,Copacabana,-22.96462,-43.17472,Entire home/apt,8,1 bath,3,5,,25000
